Vendedor,País,Produto,Data,Valor,Caixas Enviadas
Madelene Upcott,Reino Unido,Chocolate Salgado Suave,04/03/2023,"$ 14.769,97",87
Gigi Bohling,Índia,Eclairs,21/06/2023,"$ 3.687,44",73
Rafaelita Blaksland,Austrália,Calda de Chocolate Orgânica,26/01/2023,"$ 1.123,58",114
Oby Sorrel,Nova Zelândia,Chocolate Branco,10/06/2023,"$ 4.612,08",38
Andria Kimpton,Reino Unido,Chocolate para Beber,23/05/2023,"$ 1.600,11",70
Kelci Walkden,Índia,Barras de Chocolate ao Leite,15/04/2023,"$ 975,67",105
Karlen McCaffrey,Nova Zelândia,Barras Recheadas com Caramelo,31/01/2023,"$ 5.487,30",219
Andria Kimpton,Nova Zelândia,Calda de Chocolate Orgânica,04/03/2023,"$ 4.948,15",39
Barr Faughny,Nova Zelândia,Chocolate de Menta (After Nines),19/04/2023,"$ 11.460,08",81
Beverie Moffet,Reino Unido,Chocolate com Amêndoas,16/05/2023,"$ 2.628,33",101
Oby Sorrel,Austrália,Chocolate de Framboesa,17/02/2023,"$ 1.044,35",126
Dennison Crosswaite,EUA,Chocolate de Framboesa,18/01/2023,"$ 7.449,70",264
Roddy Speechley,Canadá,Chocolate de Laranja,09/02/2023,"$ 9.315,64",88
Mallorie Waber,Canadá,Chocolate de Laranja,23/03/2023,"$ 3.820,94",179
Madelene Upcott,Nova Zelândia,Barras Recheadas com Caramelo,01/02/2023,"$ 3.782,83",150
Mallorie Waber,Índia,Chocolate para Beber,07/03/2023,"$ 4.525,72",146
Ches Bonnell,Reino Unido,Chocolate Branco,03/01/2023,"$ 3.730,79",237
Ches Bonnell,EUA,Chocolate Branco,11/02/2023,"$ 6.068,19",349
Dennison Crosswaite,Nova Zelândia,Chocolate de Laranja,16/03/2023,"$ 4.944,46",144
Dotty Strutley,Índia,Chocolate Branco,15/08/2023,"$ 12.331,35",337
Gigi Bohling,Índia,Chocolate com Mel de Manuka,12/05/2023,"$ 5.290,76",76
Van Tuxwell,Índia,Barras Finas Picantes,11/04/2023,"$ 6.874,06",4
Jan Morforth,Nova Zelândia,Chocolate de Menta com Flocos,30/06/2023,"$ 20.402,17",297
Dotty Strutley,Nova Zelândia,Chocolate Branco,15/06/2023,"$ 7.923,10",62
Rafaelita Blaksland,Canadá,Barras Recheadas com Caramelo,01/08/2023,"$ 8.145,99",100
Kaine Padly,EUA,Barras de Chocolate ao Leite,15/06/2023,"$ 16.253,25",58
Brien Boise,Índia,Chocolate de Menta (After Nines),16/06/2023,"$ 5.744,07",49
Oby Sorrel,Nova Zelândia,Chocolate de Framboesa,13/05/2023,"$ 4.908,71",288
Dennison Crosswaite,EUA,Chocolate para Beber,10/05/2023,"$ 2.369,87",139
Oby Sorrel,Índia,Eclairs,25/08/2023,"$ 5.973,24",337
Ches Bonnell,Nova Zelândia,Calda de Chocolate Orgânica,15/07/2023,"$ 8.047,16",86
Gigi Bohling,Reino Unido,Gotas de Chocolate Culinário,16/05/2023,"$ 9.656,56",400
Jan Morforth,Austrália,Pedacinhos 50% Cacau,14/06/2023,"$ 3.925,06",186
Beverie Moffet,Austrália,Chocolate Salgado Suave,25/01/2023,"$ 11.682,62",506
Ches Bonnell,EUA,Calda de Chocolate Orgânica,28/07/2023,"$ 7.874,15",13
Brien Boise,Canadá,Chocolate de Menta com Flocos,28/01/2023,"$ 5.061,37",179
Kaine Padly,Reino Unido,Chocolate de Laranja,29/06/2023,"$ 2.099,24",186
Karlen McCaffrey,Austrália,Pedacinhos 70% Cacau,24/06/2023,"$ 237,57",311
Gunar Cockshoot,Canadá,Chocolate de Menta com Flocos,01/07/2023,"$ 8.829,77",445
Roddy Speechley,EUA,Cubos de Manteiga de Amendoim,25/02/2023,"$ 1.733,09",135
Curtice Advani,Canadá,Chocolate Salgado Suave,01/08/2023,"$ 3.047,18",12
Oby Sorrel,Austrália,Barras de Chocolate ao Leite,21/06/2023,"$ 8.497,72",276
Camilla Castle,Nova Zelândia,Barras Finas Picantes,25/01/2023,"$ 12.557,56",26
Gigi Bohling,Reino Unido,Barras de Chocolate ao Leite,17/05/2023,"$ 1.406,91",231
Andria Kimpton,Austrália,Barras 85% Cacau,23/08/2023,"$ 4.496,32",240
Camilla Castle,Austrália,Chocolate Salgado Suave,03/03/2023,"$ 8.220,25",125
Roddy Speechley,Índia,Barras Recheadas com Caramelo,30/05/2023,"$ 9.588,03",562
Karlen McCaffrey,EUA,Chocolate para Beber,29/06/2023,"$ 114,82",231
Andria Kimpton,Canadá,Calda de Chocolate Orgânica,04/01/2023,"$ 8.804,98",214
Jehu Rudeforth,Austrália,Chocolate para Beber,14/01/2023,"$ 2.900,61",68
Karlen McCaffrey,EUA,Chocolate de Menta com Flocos,15/02/2023,"$ 16.773,08",58
Curtice Advani,Nova Zelândia,Barras Finas Picantes,10/01/2023,"$ 4.153,59",513
Madelene Upcott,EUA,Chocolate Branco,04/05/2023,"$ 12.571,07",226
Andria Kimpton,EUA,Barras Finas Picantes,23/05/2023,"$ 2.553,46",5
Barr Faughny,Nova Zelândia,Barras de Frutas e Castanhas,26/04/2023,"$ 1.888,94",159
Oby Sorrel,Canadá,Calda de Chocolate Orgânica,05/07/2023,"$ 1.310,04",71
Madelene Upcott,Reino Unido,Calda de Chocolate Orgânica,21/07/2023,"$ 7.805,90",179
Dotty Strutley,EUA,Chocolate de Menta com Flocos,21/02/2023,"$ 6.101,12",261
Kelci Walkden,EUA,Chocolate de Laranja,03/02/2023,"$ 1.425,81",133
Gigi Bohling,Austrália,Barras Recheadas com Caramelo,08/07/2023,"$ 8.724,40",147
Mallorie Waber,Índia,Pedacinhos 50% Cacau,31/05/2023,"$ 664,82",147
Van Tuxwell,Nova Zelândia,Chocolate de Menta com Flocos,27/06/2023,"$ 4.351,31",103
Van Tuxwell,Índia,Pedacinhos 50% Cacau,13/05/2023,"$ 5.825,09",123
Van Tuxwell,EUA,Chocolate com Mel de Manuka,31/05/2023,"$ 2.418,93",110
Wilone O'Kielt,EUA,Chocolate de Laranja,28/02/2023,"$ 7.725,52",38
Barr Faughny,Nova Zelândia,Eclairs,28/03/2023,"$ 7.144,08",32
Gigi Bohling,EUA,Chocolate de Menta (After Nines),14/01/2023,"$ 2.043,13",243
Barr Faughny,Nova Zelândia,Chocolate de Menta com Flocos,21/02/2023,"$ 6.526,01",147
Dennison Crosswaite,Canadá,Barras 85% Cacau,01/08/2023,"$ 11.334,77",89
Beverie Moffet,Nova Zelândia,Chocolate Salgado Suave,19/05/2023,"$ 2.492,67",58
Husein Augar,EUA,Chocolate Branco,13/07/2023,"$ 2.066,48",59
Andria Kimpton,Austrália,Cubos de Manteiga de Amendoim,20/04/2023,"$ 7.009,01",150
Dennison Crosswaite,Índia,Barras 85% Cacau,30/06/2023,"$ 4.562,97",21
Curtice Advani,Reino Unido,Pedacinhos 50% Cacau,08/03/2023,"$ 3.442,99",142
Gunar Cockshoot,EUA,Barras de Frutas e Castanhas,09/03/2023,"$ 6.669,60",99
Oby Sorrel,Canadá,Chocolate de Framboesa,16/06/2023,"$ 1.902,47",217
Gigi Bohling,Reino Unido,Chocolate para Beber,30/06/2023,"$ 6.157,17",43
Kelci Walkden,Índia,Chocolate de Menta com Flocos,28/07/2023,"$ 3.012,68",129
Karlen McCaffrey,Canadá,Cubos de Manteiga de Amendoim,12/08/2023,"$ 3.473,62",170
Barr Faughny,Reino Unido,Chocolate de Menta com Flocos,07/07/2023,"$ 4.129,98",332
Barr Faughny,EUA,Barras 85% Cacau,25/08/2023,"$ 14.566,22",45
Husein Augar,Canadá,Eclairs,17/01/2023,"$ 4.049,61",255
Jan Morforth,Austrália,Pedacinhos 70% Cacau,04/03/2023,"$ 5.924,44",396
Marney O'Breen,Nova Zelândia,Barras de Frutas e Castanhas,25/08/2023,"$ 10.100,95",4
Ches Bonnell,Reino Unido,Cubos de Manteiga de Amendoim,15/04/2023,"$ 2.362,01",272
Kaine Padly,EUA,Calda de Chocolate Orgânica,11/03/2023,"$ 2.638,76",24
Camilla Castle,EUA,Chocolate de Framboesa,20/05/2023,"$ 3.496,41",18
Brien Boise,Nova Zelândia,Chocolate com Mel de Manuka,14/06/2023,"$ 17.222,86",44
Jehu Rudeforth,Nova Zelândia,Chocolate de Menta (After Nines),14/04/2023,"$ 1.604,87",71
Jehu Rudeforth,EUA,Chocolate Salgado Suave,07/07/2023,"$ 7.170,21",151
Madelene Upcott,Índia,Chocolate de Menta com Flocos,24/08/2023,"$ 4.090,16",75
Jehu Rudeforth,Índia,Eclairs,24/02/2023,"$ 9.574,38",134
Karlen McCaffrey,Canadá,Chocolate de Framboesa,09/05/2023,"$ 717,90",213
Kaine Padly,Austrália,Pedacinhos 70% Cacau,08/02/2023,"$ 7.734,54",227
Roddy Speechley,Reino Unido,Pedacinhos 70% Cacau,24/03/2023,"$ 1.606,49",305
Rafaelita Blaksland,EUA,Chocolate para Beber,20/06/2023,"$ 9.170,09",79
Mallorie Waber,Canadá,Chocolate com Mel de Manuka,07/03/2023,"$ 1.583,57",122
Kaine Padly,Austrália,Barras de Frutas e Castanhas,20/06/2023,"$ 7.684,52",83
Oby Sorrel,Nova Zelândia,Calda de Chocolate Orgânica,17/02/2023,"$ 16.765,07",261
Madelene Upcott,Reino Unido,99% Cacau Puro,26/01/2023,"$ 11.796,63",45
Madelene Upcott,Austrália,Chocolate de Menta com Flocos,02/05/2023,"$ 2.766,65",148
Curtice Advani,Canadá,99% Cacau Puro,07/07/2023,"$ 13.232,74",7
Rafaelita Blaksland,Austrália,Gotas de Chocolate Culinário,22/08/2023,"$ 2.820,41",50
Karlen McCaffrey,Austrália,Chocolate de Menta (After Nines),11/08/2023,"$ 2.483,32",65
Marney O'Breen,Reino Unido,99% Cacau Puro,13/01/2023,"$ 9.124,16",209
Gunar Cockshoot,Austrália,Pedacinhos 50% Cacau,02/03/2023,"$ 12.728,16",111
Marney O'Breen,Austrália,Amêndoas Cobertas com Chocolate,27/07/2023,"$ 12.624,64",41
Kelci Walkden,Nova Zelândia,Chocolate para Beber,10/03/2023,"$ 17.584,16",110
Beverie Moffet,EUA,Barras 85% Cacau,23/08/2023,"$ 13.156,49",360
Roddy Speechley,EUA,Eclairs,25/04/2023,"$ 4.164,10",167
Dennison Crosswaite,Reino Unido,Barras de Chocolate ao Leite,07/03/2023,"$ 11.698,98",436
Wilone O'Kielt,Reino Unido,Calda de Chocolate Orgânica,12/07/2023,"$ 4.964,25",56
Madelene Upcott,EUA,Chocolate de Laranja,16/05/2023,"$ 8.258,37",132
Gunar Cockshoot,Índia,Chocolate Salgado Suave,02/03/2023,"$ 3.938,20",70
Marney O'Breen,Nova Zelândia,Barras 85% Cacau,30/05/2023,"$ 1.368,27",163
Marney O'Breen,Reino Unido,Chocolate com Mel de Manuka,10/06/2023,"$ 12.449,46",177
Brien Boise,EUA,99% Cacau Puro,25/07/2023,"$ 7.323,82",339
Beverie Moffet,Nova Zelândia,Chocolate de Menta com Flocos,09/06/2023,"$ 4.560,81",102
Dennison Crosswaite,EUA,Barras de Chocolate ao Leite,12/05/2023,"$ 777,46",58
Gunar Cockshoot,EUA,Chocolate para Beber,09/05/2023,"$ 3.857,27",5
Brien Boise,Canadá,Chocolate com Mel de Manuka,09/08/2023,"$ 7.442,69",179
Van Tuxwell,Índia,Amêndoas Cobertas com Chocolate,13/04/2023,"$ 5.799,30",125
Andria Kimpton,EUA,Barras Recheadas com Caramelo,02/05/2023,"$ 8.836,90",48
Dotty Strutley,EUA,99% Cacau Puro,09/08/2023,"$ 4.185,00",315
Camilla Castle,Austrália,Chocolate de Framboesa,23/08/2023,"$ 6.984,06",174
Gunar Cockshoot,Índia,Barras Finas Picantes,13/05/2023,"$ 7.362,70",179
Karlen McCaffrey,EUA,Chocolate com Mel de Manuka,01/02/2023,"$ 10.338,27",73
Camilla Castle,EUA,Pedacinhos 50% Cacau,23/06/2023,"$ 6.215,72",324
Madelene Upcott,Reino Unido,Amêndoas Cobertas com Chocolate,24/05/2023,"$ 10.400,66",144
Jan Morforth,Canadá,Chocolate de Menta com Flocos,01/04/2023,"$ 1.062,61",217
Camilla Castle,Canadá,Pedacinhos 70% Cacau,27/07/2023,"$ 10.095,71",151
Ches Bonnell,Índia,Cubos de Manteiga de Amendoim,27/01/2023,"$ 23.251,68",210
Jan Morforth,Índia,Amêndoas Cobertas com Chocolate,12/08/2023,"$ 2.669,61",143
Gigi Bohling,Canadá,Chocolate com Amêndoas,01/02/2023,"$ 10.265,97",49
Rafaelita Blaksland,Índia,Chocolate de Menta (After Nines),02/03/2023,"$ 5.423,54",203
Kelci Walkden,Austrália,99% Cacau Puro,30/06/2023,"$ 3.272,68",32
Dotty Strutley,Austrália,Barras Finas Picantes,17/01/2023,"$ 8.840,59",92
Brien Boise,EUA,Barras de Chocolate ao Leite,07/07/2023,"$ 14.460,51",124
Mallorie Waber,Nova Zelândia,Chocolate de Menta com Flocos,31/01/2023,"$ 1.461,99",109
Beverie Moffet,Reino Unido,99% Cacau Puro,10/08/2023,"$ 3.701,60",131
Beverie Moffet,EUA,Cubos de Manteiga de Amendoim,18/08/2023,"$ 13.951,32",329
Brien Boise,Nova Zelândia,Chocolate Branco,15/06/2023,"$ 5.774,92",325
Marney O'Breen,EUA,Gotas de Chocolate Culinário,26/01/2023,"$ 9.718,87",10
Kelci Walkden,EUA,Barras Finas Picantes,29/04/2023,"$ 87,52",69
Mallorie Waber,Canadá,Chocolate Branco,03/03/2023,"$ 3.398,51",74
Kaine Padly,Austrália,Chocolate com Amêndoas,22/02/2023,"$ 4.371,77",375
Oby Sorrel,EUA,Chocolate Salgado Suave,04/03/2023,"$ 3.632,32",169
Dennison Crosswaite,Índia,Chocolate Salgado Suave,07/07/2023,"$ 3.343,85",10
Camilla Castle,Nova Zelândia,Barras Recheadas com Caramelo,17/06/2023,"$ 4.400,28",364
Jan Morforth,Canadá,Barras Recheadas com Caramelo,02/08/2023,"$ 10.802,13",124
Oby Sorrel,EUA,Gotas de Chocolate Culinário,12/08/2023,"$ 9.154,17",123
Madelene Upcott,Nova Zelândia,Cubos de Manteiga de Amendoim,28/01/2023,"$ 5.360,89",340
Kelci Walkden,Austrália,Chocolate de Laranja,29/04/2023,"$ 11.597,46",462
Marney O'Breen,Austrália,Chocolate com Mel de Manuka,05/04/2023,"$ 14.939,24",238
Kaine Padly,Canadá,Chocolate com Mel de Manuka,18/01/2023,"$ 10.845,85",146
Jehu Rudeforth,Reino Unido,Gotas de Chocolate Culinário,16/05/2023,"$ 2.832,78",104
Kelci Walkden,Austrália,Chocolate Branco,24/08/2023,"$ 8.879,72",177
Curtice Advani,Índia,Barras 85% Cacau,18/01/2023,"$ 298,34",399
Kaine Padly,EUA,Eclairs,22/08/2023,"$ 7.799,51",10
Gunar Cockshoot,Reino Unido,99% Cacau Puro,07/03/2023,"$ 8,04",85
Beverie Moffet,Reino Unido,Amêndoas Cobertas com Chocolate,04/03/2023,"$ 3.212,35",66
Dotty Strutley,Canadá,Chocolate com Mel de Manuka,22/04/2023,"$ 12.048,56",113
Kaine Padly,Austrália,Barras de Chocolate ao Leite,09/06/2023,"$ 4.499,64",91
Jan Morforth,Canadá,Barras de Frutas e Castanhas,25/07/2023,"$ 9.984,16",207
Jan Morforth,Índia,Chocolate Salgado Suave,03/08/2023,"$ 11.867,83",95
Rafaelita Blaksland,Austrália,Chocolate com Mel de Manuka,03/08/2023,"$ 4.806,65",132
Jehu Rudeforth,Reino Unido,Barras de Chocolate ao Leite,03/05/2023,"$ 13.420,93",232
Husein Augar,Canadá,Chocolate de Menta (After Nines),19/01/2023,"$ 10.407,51",301
Roddy Speechley,EUA,Pedacinhos 50% Cacau,11/02/2023,"$ 10.849,39",330
Van Tuxwell,Índia,Chocolate com Amêndoas,14/06/2023,"$ 7.247,29",402
Kelci Walkden,EUA,Pedacinhos 50% Cacau,23/03/2023,"$ 6.387,65",227
Madelene Upcott,Canadá,Barras 85% Cacau,17/02/2023,"$ 8.373,42",108
Dennison Crosswaite,Canadá,Chocolate Salgado Suave,17/03/2023,"$ 1.887,19",488
Mallorie Waber,Austrália,Barras Finas Picantes,29/06/2023,"$ 6.054,04",287
Ches Bonnell,Canadá,Amêndoas Cobertas com Chocolate,24/08/2023,"$ 16.254,61",268
Gigi Bohling,Canadá,Barras Finas Picantes,04/07/2023,"$ 13.173,56",301
Roddy Speechley,Nova Zelândia,Chocolate com Amêndoas,28/03/2023,"$ 2.721,46",72
Curtice Advani,Índia,Chocolate Salgado Suave,19/04/2023,"$ 19.283,64",139
Ches Bonnell,Nova Zelândia,Chocolate de Menta com Flocos,18/01/2023,"$ 9.327,52",232
Van Tuxwell,Nova Zelândia,Barras de Frutas e Castanhas,17/01/2023,"$ 3.184,03",85
Andria Kimpton,Nova Zelândia,Chocolate de Menta com Flocos,15/02/2023,"$ 9.738,74",209
Andria Kimpton,Reino Unido,Barras de Chocolate ao Leite,11/02/2023,"$ 16.486,65",314
Camilla Castle,EUA,Chocolate com Mel de Manuka,21/03/2023,"$ 16.792,23",184
Gunar Cockshoot,Nova Zelândia,Chocolate com Amêndoas,05/01/2023,"$ 5.752,62",125
Brien Boise,Índia,Chocolate de Framboesa,30/05/2023,"$ 6.833,28",157
Jehu Rudeforth,EUA,99% Cacau Puro,04/01/2023,"$ 2.815,72",222
Beverie Moffet,Austrália,Barras de Frutas e Castanhas,22/04/2023,"$ 1.545,36",269
Gigi Bohling,Canadá,Barras de Chocolate ao Leite,10/02/2023,"$ 3.432,73",120
Dotty Strutley,Índia,Barras Finas Picantes,12/08/2023,"$ 1.001,99",217
Gunar Cockshoot,EUA,Calda de Chocolate Orgânica,10/08/2023,"$ 2.494,19",315
Kelci Walkden,Austrália,Chocolate de Framboesa,07/06/2023,"$ 770,25",61
Jehu Rudeforth,Índia,Gotas de Chocolate Culinário,06/06/2023,"$ 2.261,98",73
Karlen McCaffrey,Nova Zelândia,Gotas de Chocolate Culinário,05/04/2023,"$ 5.667,58",204
Wilone O'Kielt,EUA,Pedacinhos 50% Cacau,18/04/2023,"$ 4.738,71",125
Andria Kimpton,Índia,Pedacinhos 50% Cacau,31/01/2023,"$ 13.661,89",15
Madelene Upcott,EUA,Gotas de Chocolate Culinário,22/08/2023,"$ 6.067,19",151
Jehu Rudeforth,Austrália,99% Cacau Puro,25/02/2023,"$ 11.720,99",204
Jan Morforth,Austrália,Chocolate de Menta com Flocos,22/02/2023,"$ 19.999,55",106
Oby Sorrel,Nova Zelândia,Barras de Chocolate ao Leite,12/01/2023,"$ 4.484,03",201
Brien Boise,Reino Unido,Chocolate com Amêndoas,25/05/2023,"$ 107,24",129
Kelci Walkden,Índia,Chocolate Salgado Suave,01/02/2023,"$ 2.525,98",8
Rafaelita Blaksland,Reino Unido,Eclairs,27/04/2023,"$ 1.577,84",67
Gigi Bohling,EUA,Chocolate Salgado Suave,22/07/2023,"$ 2.972,07",129
Curtice Advani,Nova Zelândia,Chocolate de Menta com Flocos,26/01/2023,"$ 3.691,63",284
Curtice Advani,EUA,Chocolate de Menta com Flocos,24/08/2023,"$ 5.188,89",293
Madelene Upcott,Nova Zelândia,Barras de Frutas e Castanhas,18/01/2023,"$ 5.766,51",21
Karlen McCaffrey,Índia,Barras 85% Cacau,30/03/2023,"$ 1.036,77",82
Ches Bonnell,Austrália,Barras Recheadas com Caramelo,17/01/2023,"$ 10.033,52",163
Kelci Walkden,EUA,Barras de Frutas e Castanhas,17/02/2023,"$ 5.220,69",154
Kelci Walkden,Canadá,Cubos de Manteiga de Amendoim,08/04/2023,"$ 8.106,62",47
Gigi Bohling,Canadá,Chocolate para Beber,06/07/2023,"$ 3.934,09",86
Husein Augar,Índia,Barras de Frutas e Castanhas,04/04/2023,"$ 4.508,93",231
Jan Morforth,Nova Zelândia,Calda de Chocolate Orgânica,02/03/2023,"$ 1.921,57",226
Gigi Bohling,Nova Zelândia,Chocolate de Framboesa,09/08/2023,"$ 1.161,31",181
Dennison Crosswaite,Austrália,Barras de Chocolate ao Leite,09/06/2023,"$ 11.389,29",282
Ches Bonnell,Reino Unido,Barras Recheadas com Caramelo,02/06/2023,"$ 3.032,30",313
Van Tuxwell,EUA,Barras de Frutas e Castanhas,05/07/2023,"$ 6.871,55",238
Andria Kimpton,Canadá,Eclairs,11/08/2023,"$ 339,99",124
Madelene Upcott,Índia,Amêndoas Cobertas com Chocolate,11/02/2023,"$ 3.720,22",141
Kelci Walkden,Nova Zelândia,Barras Finas Picantes,11/08/2023,"$ 731,19",69
Roddy Speechley,Austrália,Chocolate para Beber,12/05/2023,"$ 13.288,65",112
Wilone O'Kielt,EUA,Barras de Chocolate ao Leite,15/07/2023,"$ 5.332,79",101
Andria Kimpton,Índia,Calda de Chocolate Orgânica,18/01/2023,"$ 3.971,78",131
Madelene Upcott,Reino Unido,Barras de Frutas e Castanhas,05/01/2023,"$ 9.538,21",198
Curtice Advani,Austrália,Pedacinhos 50% Cacau,29/06/2023,"$ 547,85",221
Brien Boise,Canadá,Chocolate de Framboesa,14/06/2023,"$ 2.994,76",47
Gunar Cockshoot,Índia,Chocolate de Menta com Flocos,08/08/2023,"$ 4.451,38",71
Dennison Crosswaite,Índia,Chocolate de Menta com Flocos,23/03/2023,"$ 14.691,77",143
Barr Faughny,Índia,Barras Recheadas com Caramelo,04/01/2023,"$ 7.042,98",107
Brien Boise,Índia,Barras de Chocolate ao Leite,22/02/2023,"$ 15.583,00",248
Beverie Moffet,Reino Unido,Barras Finas Picantes,17/02/2023,"$ 9.059,82",268
Barr Faughny,EUA,Chocolate com Amêndoas,03/02/2023,"$ 430,59",85
Van Tuxwell,Canadá,Chocolate de Framboesa,17/03/2023,"$ 1.264,25",137
Wilone O'Kielt,Austrália,Gotas de Chocolate Culinário,25/01/2023,"$ 2.995,47",156
Brien Boise,Austrália,Barras de Chocolate ao Leite,27/07/2023,"$ 2.117,82",56
Husein Augar,Austrália,Barras de Frutas e Castanhas,28/01/2023,"$ 8.081,79",54
Madelene Upcott,Austrália,Calda de Chocolate Orgânica,05/07/2023,"$ 11.542,54",49
Van Tuxwell,Índia,Chocolate Branco,15/03/2023,"$ 2.183,68",46
Gunar Cockshoot,Canadá,Chocolate de Menta (After Nines),04/08/2023,"$ 3.125,34",191
Jan Morforth,EUA,Barras de Frutas e Castanhas,27/06/2023,"$ 4.891,86",380
Jan Morforth,Canadá,Chocolate de Menta (After Nines),13/07/2023,"$ 4.881,32",183
Barr Faughny,Nova Zelândia,Chocolate com Mel de Manuka,24/02/2023,"$ 5.917,62",238
Karlen McCaffrey,Nova Zelândia,Barras 85% Cacau,28/06/2023,"$ 6.312,53",60
Oby Sorrel,Austrália,Barras 85% Cacau,30/06/2023,"$ 7.956,28",27
Curtice Advani,Canadá,Amêndoas Cobertas com Chocolate,18/08/2023,"$ 5.895,88",7
Kaine Padly,Índia,Pedacinhos 70% Cacau,24/01/2023,"$ 13.535,70",296
Beverie Moffet,EUA,Chocolate Branco,11/03/2023,"$ 5.639,90",129
Ches Bonnell,Nova Zelândia,Chocolate de Menta (After Nines),23/06/2023,"$ 5.813,44",356
Husein Augar,Índia,Barras Finas Picantes,22/08/2023,"$ 2.514,82",32
Gunar Cockshoot,Canadá,Pedacinhos 50% Cacau,04/01/2023,"$ 3.044,01",22
Curtice Advani,Índia,Barras de Chocolate ao Leite,05/04/2023,"$ 3.902,04",214
Beverie Moffet,Índia,Barras de Chocolate ao Leite,15/04/2023,"$ 1.928,74",354
Husein Augar,Austrália,Chocolate Branco,11/05/2023,"$ 3.251,53",241
Andria Kimpton,Canadá,Chocolate com Mel de Manuka,21/07/2023,"$ 5.031,94",495
Jan Morforth,Nova Zelândia,Chocolate de Laranja,11/02/2023,"$ 1.350,26",89
Andria Kimpton,Canadá,Chocolate Salgado Suave,08/07/2023,"$ 1.187,71",75
Gunar Cockshoot,Reino Unido,Chocolate de Framboesa,11/08/2023,"$ 7.055,38",334
Husein Augar,Nova Zelândia,Chocolate de Menta (After Nines),04/08/2023,"$ 7.231,89",8
Andria Kimpton,Nova Zelândia,Chocolate de Laranja,14/06/2023,"$ 9.295,83",93
Dennison Crosswaite,Reino Unido,Gotas de Chocolate Culinário,17/01/2023,"$ 2.276,94",296
Jehu Rudeforth,Canadá,Chocolate de Laranja,23/06/2023,"$ 4.229,79",548
Jehu Rudeforth,Reino Unido,Chocolate Salgado Suave,24/08/2023,"$ 1.640,53",119
Andria Kimpton,Reino Unido,Barras Recheadas com Caramelo,07/06/2023,"$ 8.234,50",294
Jan Morforth,Reino Unido,Chocolate Branco,22/06/2023,"$ 10.087,04",46
Dotty Strutley,EUA,Barras de Frutas e Castanhas,13/07/2023,"$ 3.169,26",281
Kelci Walkden,Reino Unido,Amêndoas Cobertas com Chocolate,24/05/2023,"$ 10.355,42",215
Gunar Cockshoot,Nova Zelândia,Chocolate de Menta (After Nines),09/08/2023,"$ 7.772,63",140
Kaine Padly,Canadá,Barras 85% Cacau,06/04/2023,"$ 1.992,77",31
Jan Morforth,Nova Zelândia,Chocolate com Mel de Manuka,28/07/2023,"$ 1.815,56",266
Gunar Cockshoot,Nova Zelândia,Chocolate de Framboesa,24/08/2023,"$ 727,11",50
Van Tuxwell,Austrália,99% Cacau Puro,17/01/2023,"$ 114,96",132
Curtice Advani,EUA,Chocolate para Beber,07/02/2023,"$ 5.378,09",142
Brien Boise,Austrália,Barras Finas Picantes,09/05/2023,"$ 6.707,63",269
Mallorie Waber,Nova Zelândia,Barras 85% Cacau,06/06/2023,"$ 8.167,18",102
Wilone O'Kielt,EUA,Amêndoas Cobertas com Chocolate,06/06/2023,"$ 9.950,14",6
Beverie Moffet,Nova Zelândia,Calda de Chocolate Orgânica,24/05/2023,"$ 7.229,26",215
Gunar Cockshoot,Reino Unido,Pedacinhos 50% Cacau,13/01/2023,"$ 2.260,21",128
Marney O'Breen,EUA,Chocolate de Framboesa,23/05/2023,"$ 6.206,90",149
Jehu Rudeforth,Reino Unido,Chocolate Branco,29/06/2023,"$ 1.889,83",286
Jehu Rudeforth,Nova Zelândia,Barras 85% Cacau,11/03/2023,"$ 7.797,24",88
Dotty Strutley,EUA,Barras 85% Cacau,25/04/2023,"$ 11.644,92",536
Rafaelita Blaksland,Austrália,Chocolate Salgado Suave,30/05/2023,"$ 4.207,22",255
Curtice Advani,Índia,Chocolate com Mel de Manuka,23/05/2023,"$ 1.683,88",169
Mallorie Waber,EUA,Cubos de Manteiga de Amendoim,23/05/2023,"$ 1.337,36",18
Van Tuxwell,Canadá,Cubos de Manteiga de Amendoim,24/06/2023,"$ 7.147,04",300
Kelci Walkden,Nova Zelândia,Chocolate Salgado Suave,11/03/2023,"$ 12.030,46",296
Rafaelita Blaksland,EUA,Chocolate Salgado Suave,27/07/2023,"$ 15.844,58",232
Rafaelita Blaksland,EUA,Chocolate Branco,16/08/2023,"$ 5.025,84",133
Roddy Speechley,Canadá,Chocolate Salgado Suave,07/03/2023,"$ 9.902,03",12
Curtice Advani,Nova Zelândia,Chocolate de Menta (After Nines),05/04/2023,"$ 7.944,07",33
Camilla Castle,Índia,Barras 85% Cacau,04/05/2023,"$ 9.523,65",55
Ches Bonnell,EUA,Amêndoas Cobertas com Chocolate,04/01/2023,"$ 16.240,71",93
Marney O'Breen,Austrália,Gotas de Chocolate Culinário,13/01/2023,"$ 5.891,94",109
Wilone O'Kielt,Nova Zelândia,Barras de Frutas e Castanhas,11/07/2023,"$ 6.924,52",94
Kaine Padly,Austrália,Chocolate de Menta com Flocos,17/05/2023,"$ 4.552,57",158
Camilla Castle,Nova Zelândia,Cubos de Manteiga de Amendoim,21/07/2023,"$ 1.724,91",60
Curtice Advani,Canadá,Calda de Chocolate Orgânica,22/02/2023,"$ 897,30",21
